,text,HS
6781,koruptor lindungi komisi pemberantasan korupsi bubarkan bawa kemana negara pemerintah nya koruptor,1
12810,tolonglah nak rumah orang renovasi cari iklan kat twitter fb harga yahudi kualitas seikhlas duit njalan jalan orang kung orang kung murah teliti,0
5209,info sesat npaspor 24 paspor tenaga kerja indonesia khusus tki ndahulu iya 2010 2010 paspor 24 paspor kemana pepo bahas pin,0
11532,iori kali foto merem meluluk sengaja merem gara gara pas mengedip sipit maksimal ya wkwkkw mohon maaf dek iori xd,0
12719,mantap presiden joko widodo jagonya menuntaskan pekerjaan mangkrak mantan presiden sih gubernur aher salam metal 2 periodontik,0
242,kebuka kebusukan kubu anies sandi menang berkah  prabowo berusaha cuci tangan,1
2677,brisik nih setan terkutuk,1
742,semoga etnis cina indonesia menduduki pemerintahan kayak singapur,1
10615,lo be anya gue marah gue gue marah sih berengsek menghina agama gue jgn salahkan gue gue hina junjungannya nadilnya dmn anonymous,1
1306,ihsg dibuka menguat 17 22 poin 0 28 6 302 98,0
7243,mantep nyoo keterima sitip,0
8496,menteri perdagangan cina sdh menumpang cari makan hidup indonesia cari perkara pribumi usir nkri,1
9263,keren bang ulasanya mantap lanjjutkan perjuanganmu membela rakyat lemah nan lengserkan jokowi,1
5395,nu mengakui said aqil kiai pilih jokowi,1
3063,masjid dipasang spanduk 2019gantipresiden marah masjid dipakai ceramah politik tanoe non muslim dukung,1
6133,please ya gue dasarnya gange i af ya gue idiot kayak ya kayak kayak kayak ,0
7805,pe umbuhan ekonomi asia pasifik 6 turun 1 poin prediksi,0
8706,kemana sinting wkwkwk,0
4537,pikiran anak bani kret beda penista agama penfitnah penipu garong,1
8700,pasangan abg semangat ngentot nfull gt gt  bokepabg abgmesum ngentot mesum bo,0
4527,kemarin revisi uu terorisme disahkan dpr harapan pencegahan aksi terorisme dimaksimalkan pelibatan tni polemikpemberantasanterorisme,0
6338,ya perbedaan dunia in aneh coba simak masakan garam istlhnya ndi dunia pria bagus cewek bagus kga kristen islam,0
332,wibisono pencitraan jokowi disebarkan up media massa pro asing terkesan jokowi berhasil,1
4267,suka film fantasi seru harry potter antek anteknya kayak fantastic beast suka suka film kayak pride and prejudice pakai gaun mengembang mengembang,0
9056,stadion saksi bisu pagelaran sepak bola indonesia stadion memiliki masjid ibadah umat islam,0
8863,ayo gue sejujurnya keluarga gue haha nd gue kristen,0
9816,ya lompat 2019gantipresiden,1
10518,asyik ya mati matian dukung dianggap bantu kanye saracen anies,1
4668,dipungkiri pki indonesia pki musuh islam surat pki thn 1953 islam agama ara umat islam indonesia terprovokasi nya wacana okn,0
6662,ayas kunyuk,0
5339,budaya beli cabe rawit boss,0
6869,gue bilang anjir bagus,0
12684,kl usir nasionalis bidang ekonomi ekonomi dimonopoli cina total surat pemberitahuan tahunan skrg hancur ri,1
3572,tolol die sangku pautnya ngapain bilang pengecut dasar tolol,1
4445,pdiperjuanganmenang kaum sipit menguasai tambang indonesia te awa dasar nasionalisme indonesia pemilu dukung 2 periode hasilnya tambang indonesia dikuasai sipit,1
4850,kecurangan mengalahkan prabowo,1
2130,pengusaha medan bermata sipit sepe i gw bergumam hati rasain kau cape atm,0
1400,blokir jokowi mantap dunia maya menggambarkan tinggal realisasi dunia nyata lengserkan jokowi,1
6733,ups 2 gentot kontol kakak ngaceng y,0
7589,papua indonesia hijab cadar orang2 wanita yahudi pakai cadar,0
10578,victor berkoar kayak kebakaran jenggot ngmn viktor berulang kali berkoar masjid jalanan spe i sih banci guru viktor chat mesum bikin rusuh sedunia ndasar munafik,1
8618,sya curiga uang 1 6t biaya kanye pemilihan presiden budiono wakil presiden detik detik mugkin sekelumit mantan presiden wakilnya kena hukum alias kebal hukum,1
1462,bencong idiot it berani akun asli sebar hoaks fitnah coba lihat akun cong,1
3826,membangun kabinet meningkatkan daya beli lengserkan,1
11240,jonru lindungi kelompok prabowo subianto rekan polisi berani menghukum orang bebas pergi kemana,1
9061,kepentingan zakir tulisan be anya z,0
8617,blm dengar pernyataan ulama manapun memuja2 ara pernyataan anti keara an banget pernyataan anti kechina an yahudi an kepanikan hidup ala liberal,0
1443,iya sipit ketawa niya marah ya skincare mahal,0
10964,hmm sepe inya bahaya pilihan calon wakil presiden kejadian menuruni presiden paksa kayak ahok maju cawapresnya menang kalah menang jago strateginya kayak calon wakil presiden,1
13094,biarkan orang idiot merusak moodmu,0
11638,din syamsuddin berharap konsep moderat islam ciri identitas umat islam tingkat nasional negara tingkat global muslimpro kttulama2018 kttislamwasatiyyah indonesiabisa indonesiabe oleransi,0
12016,hahaha gakdeng nyaman cerita cerita sih tai dihina bangcat senang sedekat tau oped orangnya omongan buruk,0
576,pilih presiden orang tua nya penghianat negara,1
6976,polemik mui serang ulama kh bachtiar nasir,0
8602,gak2 mar guyon anjir awm nek lihat twit ku risih iya biang cocot hehe,0
573,okesip otak bolot gue bingung,0
8737,klo jujur lo ngebacot zonk gue sanggup kerja sempurna menteri ha bacot doang bisenye biangkerok ah zonk,1
4180,kadang penasaran benak orang mencela presiden jokowi menikmati hasil kepemimpinan presiden ya jalan jalan jalan layang2 bandara bandara menikmati ka pintar ka sehat dst,0
2889,gembel gembel twitter whatsapp chat whatsapp langsung blok bebencongan minggir cuihhhh cepat kena mati kayak banci banci feminim sialan ganggu orang norang kasar dasar bencong tau malu,0
11288,doa anak yatim ulama janji allah semoga juara afc liga amin,0
8138,namanya arisha memanggilnya risha nama tengahnya asing ibunya bilang nama kota inggris arisha anak tunggal terbiasa hidup mandiri,0
5795,penguasaan bahasa melayu kalangan bangsa cina menghafal paham dihafal,0
10653,emang sah hina banget sahnya orang surat pemberitahuan tahunan km,1
9292,aktris deh tar transgender aktor,0
2899,tujuan kaca biar menyadari pas kemarin menghina ismed bambang pamungkas diego michel pbfc tolol lu,1
3859,myanmar kafir buddha teroris,1
11503,tomohon pusat pembelajaran agama kristen katolik khusus berdoa meditasi bukit kasih suci indah tenang tomohoninternationalflowerfestival nt,0
363,berhenti konsumen wisata haji umoh menipu produsen wisata jiarah indonesia,1
12131,2019 muncul pemimpin muslim monmaap nih bang presiden menyembah pepohonan,0
3738,nih racist nak allah agama pening kepala oh tuan tuan peranti benda first ni,0
730,anggota dpr pamer dungu biadab islam quran merintahkan penggal kafir laksanakan bilang ham,1
13088,lihat direct message ah tau gue be anya bolot,1
3698,pilkada pemilu,0
1813,cebong kebanyakan istilah hasilnya 0,1
6337,mas mas malu muslim mas ahok diam sukma diam reaksi masi puas pemamaran rocky,1
7389,cebong ketahuan tololnya gini lari kenyataan,1
7743,cinta buta buta gelap gelap hitam hitam monyet monyet baca twit,0
842,terimakasih jokowi semoga presiden kebijakan aaminn,0
133,moga tindak pelaporan penista agama ade armando langsung ketua fpi kh shobri lubis bareskrim mabes polri gambir jaka a pusat selasa 10 4 13 00 wib perhaps,1
4872,sinergi prukades bumdes pacu pe umbuhan ekonomi desa,0
981,yg dongok bong yg kret kalabong jd marah2 menyuruh ladenin elu netas bong bong,1
9444,membayangkan perasaan mbaknya memberitahu beliau disabilitas dibales mati lu bajingan,1
5975,uji kompetensi visi  misi handapan panelis peluang djarot saiful hidayat  sihar sitorus pilkada sumut 2018 saksikan kandidatbicara kamis ppl 19 30 wib zilvia iskandar indonesia,0
759,januari 1998 bilang anti suha o gerakan komunis yah,0
4132,bener bangke,0
6830,gw ujian nasional memilih sosiologi ya fi sekolah pemantapannya mata pelajaran ilmu pengetahuan sosial diikutin bangkai,0
6700,anis menang gurun pasir onta nya,1
11300,aduh pura pura cape deh,0
7052,ustaz bawa politik menak dungu,1
9869,presiden tegaskan publikasi asian games 2018,0
7525,berengsek sayang,0
2328,pekerjaan cornelis tionghoa stres gila,1
9196,cina senang indonesia susah candaan sih encek pendiri csis harry tjan silalahi 80 an,1
1439,haha sempit banget pikiranmu bang kret cebong doang kasihan,1
5582,hoa ani cebong,1
4992,cupu anjir lu,1
9463,bodoh tepatin janji urusan yg terpenting presiden,0
8162,pokoknya teroris jancuk,1
5388,,0
6751,anjir mati listrik sepulau namanya euy,0
8763,iklanahokjahat hati hati prustasi memainkan kasar hasil survei sih penista agama kalah,1
1551,bravoo presiden jokowi presiden joko widodo jokowi tercatat merungkan 30 proyek strategis nasional psn terhitung 2016 2017,0
4609,terkadang terpaksa senyum hati tersenyum munafik,0
9472,yg salah isi ajaran agamanya tokcer evil contoh simpel ulama kotbah kemaslahatan kotbah generik agamanya setuju kepentingan ateis kayak gu,0
1495,otak bani cebong 0 kosong nseorang napi penista agama diselingkuhi istri 7  bermulut jamban dipuja puja bak dewa n n cebongkoplo,1
2315,elu omong culun,1
11713,dasar menteri cebong 2019 ganti presiden presiden ganti menteri agama sontoloyo munafikun,1
8217,tuntas nselama mental pejabat maling wakil rakyat hianat aparat keparat birokrasi depa emen suka maksiat nbahkan suka menusuk pantat n facupfinal,1
10830,serangan bangsa yahudi tingkatkan iman takwa allah swt khutbah,0
6079,temuan indikasi manipulasi suara,0
9639,kemarin sengaja masuk kedai kopi sih empunya orang tionghoa jajan berbeda alih alih be anya kerja be anya usaha ndengan segenap terkaan simpulkan bera i aura peng,0
10501,pabrik sweeping mengikuti peraturan emangnya negara milik nenek mrk sontoloyo mrk,1
2367,semoga jokowi ulama sehat aamiin,0
9383,pingin jilat memek,0
3128,lost respect kesekian kalinya agency banggain a is banggain nkelakuan tai kucing kasih nyawa sih kea gini nlo tabok duit lee soo man tabok lamborgini gd tabok material,1
3350,pokcoy ih nya pacar kuuu,1
1801,capai 96 presiden jokowi tinjau progres pembangunan bandara ajati,0
9963,nih jilboobs pintar sepong kontol yaakk nhijab sange mengemut anu n jilbab cantik coli colmek bokep mesum viral http,0
5535,dody menjabat asisten gubernur kepala depa emen kebijakan ekonomi,0
8968,cepat berputar cepat penggantian rezim,0
6475,share sekolah anakku sekolah katolik mengajar suster teman sekelasnya muslim kristen budha hindu konghu chu adem ayem,0
5653,enak bom,0
11852,muntah muntah makan banci mengaku telat,0
2476,kapolri pensiun ketimbang ketegasan memimpin kepolisian republik indonesia aduan surat pemberitahuan tahunan korban terabaikan,1
485,presiden buruk sejarah bangsa bangsa cebong,1
10786,sumpah gue bohong ya gue kerja pabrik feronikel milik rusia kerja kebanyakan orang cina gue jijik joroknya bab disiram makan babi ular kadal bikin gue jengkel bau badannya masya allah taha,1
466,bubarkan dpr bubarkan savekpk,1
7637,np falshback nkamu masker rambutmu bahannya mudah tinggal memilih masker alpukat telur santan buah buahan lidah buaya n serasi,0
11368,sasaeng sasaeng your eyes picek a,1
11036,karyawan depot kec bilah hilir deklarasi anti hoax  pilkada 2018 damai,0
601,prabowo tua generasi muda blusuk jokowi muda blusuk diberbagai pulau,1
10100,dukung aye diam diam mengagumi duet jokowi puan capres  calon wakil presiden loh suer 2019gantipresiden,1
8080,bani,0
6076,3 presiden digelar 171 pemilihan kepala daerah pilkada serentak pilihan kepala daerah gubernur bupati wali kota jokowiajakulamasejukkanpilkada,0
2472,putus berani approach menunggu pas berani eh sih kunyuk balikan ya ya menunggu,0
11928,indonesia bicara pelanggaran ham sejarah papua dituduh antek asing penghianat negara provokator dll orang bicara faktanya kejahatan negara papua sesuai prinsip uu indones,0
6164,bubarkan hti presiden jokowi dinilai diktator ,1
10719,sih apes bacot,1
7678,nona pulang teriak nona dimana ngintip kamarnya kaget lihat nona gesekan memek bantal mmh,0
1331,biarin bagus cungkring gendut autis n prabowo2periode,0
6614,sih memakai rohingya serang,1
12563,ahok foto bos ale langsung dituduh melindungi giliran asma dewi foto prabowo,1
12533,follow informasi terkini ekonomi keuangan perbankan investasi saham indonesia dunia,0
11948,klo mention gue genapi pengikut ya bong loe mention gue ras masuk kakus g cebong dungu berfollower 2 dijit,1
10135,pa ai tolol indonesia thn segitu pemimpimnya kafir ya catet,1
10581,berlindung allah godaan setan terkutuk memohon allah islam mudah menyahlahkan orang,0
4131,maaf orang udik,0
8110,gimana gimanaaaa cerita barel allegedly tas isinya bom astaghfirullah,0
8468,menjelang pilkada ibukota negara fenomena warga negara etnis negeri  berusia berhak memilih pulang kota negara suara kep,0
1752,3 bank bumn meminjam uang china publik pemerintah pinjaman bangun infrastruktur memfasilitasi china menguasai newmont perbuatan kongkalikong,0
9458,bodoh mantap gue terselamatkan,0
4320,jongos antek antek aseng asing penjual akidah harga negara nafsu duniawi,1
7874,bpk diam menggebuk dewan perwakilan rakyat,1
3384,tomohon pusat pembelajaran agama kristen katolik khusus berdoa meditasi bukit kasih suci indah tenang tomohoninternationalflowerfestival nnor,0
7877,masyarakat adat baduy menyerahkan hasil panennya pjs bupati lebak ino s rawita gubernur banten wahidin halim sebabaduy2018 dw,0
8644,ikan hidup air hidup,0
7234,insyaa allah bp prabowo ustadz anis matta memiliki kriteria 2019gantipresiden 2019prabowoanismatta,0
9319,bodoh pancasila uud 45 tap mpr no 25 final pki terlarang kecebong rayu rayu presiden perpu,1
9345,semoga ketemu presiden istanakepresidenan bogor,0
10812,tangkap pelakunya polisi lengserkan jokowi r3jim pki,1
2417,melestarikan dungu biadab islam melestarikan dukungan teroris islam,1
11387,gue alay gue galau twit anak ngejb taunya gue cerita direct message,0
756,fadly timbang kadar iman pakai timbangan sayur jgn2 kadar iman tgb fadli dokter gigi bawa bunga makam pendiri sosialis komunis,0
5151,pki ya bu,0
4482,wowo kumat rajin turun gunung demo monas nyinyir jokowi ,1
564,cina lg cina lg usir ya merusak sih kerjaannya,1
4964,alhamdullilah orang tolol twitter pintar,1
12395,woi kecoa baca dungu ya dasar kecoa,1
1444,ga bacot pdhl,0
9804,mcm babi sial haaaa marah nii,0
4516,oh yeke isu negara kafir ni,1
5444,,0
9579,admin dendaman admin tolol,1
13022,kak rosanita ayamor tegur ni ai 24 jam bom,0
8044,playlist dygta kesepian wali jodi alda titi kamal jablay,0
12952,,0
7404,belomm susah banget cari peminat budaya indonesia korsel giliran menemukan sumbernya akurat gimana,0
11606,dasar hukum,0
9124,sekelumit siapkan melemahkan membinasakan kpk berhasil imbasnya lengserkan jokowi ganti pemimpin pro korupsi,1
4839,kudeta revolusi lengserkan rezim jokowi panglima kapolri ganti tni polri pimpin nasakom bahaya,1
5245,ajaran pembangang hilang hormat berkuasa zaman tok sembur air,0
12041,aimu pa ai demokrasi indonesia perjuangan bajingan,1
7164,retweet sayang belajar ngentot pasangan terkencing kencing,0
10275,mencoba banget pakai bahasa nyur2 susah tau kosakata bahasa kadang bingung duh lupa pokoknya pakai bahasa asing nsebut kemuanku mengolah,0
12933,heran setan iblis kabur takut mendengar azhan makhluk allah anteng s,1
7307,2019t3tapjokowi,0
740,bahas islam merusak nilai penguatan karakter revitalisasi pendidikan nilai,1
11582,mode pengalihan isu biar kayak rejim era milenial 27 juli lihat trailernya,0
9066,bersaing copy paste budaya mempe anyakan budayanya sndri,0
11127,teriak teriak jokowi pro asing aseng oh soeha o soeha o konsesi freepo eksploitasi tambang emas tembaga papua menguntungkan freepo indonesia kebagian saham 8 5 royalti 1,0
6320,isi lini danilla asw,0
11438,segenap warga keluarga pocanan tolak berita hoaks sukseskan pilihan kepala daerah damai wilayah kota kediri,0
7514,perek imajinasi nya liar yg long reply desah doang gue mainkan memeknya langsung ikuti ya,0
10150,malas gerak mantap banget anjir bintang tamunya naif ari lasso padi jaz ran fou wnty hivi danilla,0
7002,fpi renovasi masjid ahok kafir kristen ngapain ngurusi masjid2 hubungannya,1
2102,addie ms bongkar keterlibatan veronica ahok gubernur jaka a ,1
7409,tka menghina bos indonesia jajah lemah emerintahan mu 2019gantipresiden 2019gantipresiden 2019gantipresiden,1
3407,indosat eek,1
4412,negara agama gak hilanglah budaya pengaruh agama yah kecuali sih mayoritas kayak sih resek maksa maksa orang agama,1
723,islam melarang kaum lelaki menyerupai kaum wanita pakaian perhiasan perilaku,0
10215,hadir acara ai koalisi pendukung pasangan gubernur jatim nomor urut 1 khofifahemiljatimsatu,0
7200,sedulur ngaji semoga allah izinkan gus ipul mbak puti gubernur wagub jatim sedulurngajikotabatu sedulurngajijombang,0
11714,gk pindah tangan asing asing indonesia penonton aja,0
12112,agama pakai pakaian ketat lekuk tubuh disamakan orang telanjang nya sih agamaku agamaku agamamu agamamu bom bunuh 1 orang kena pere,0
4352,bang jaman rezim hutang ya bangga,1
1925,lihat pendukung ahok kafir mendukung anies muslim orang berbeda haluan diejek kafir haluan suci,0
3158,tulisan gue dipahami gua otak gue otak otak autis kayak bikin thread gobloknya sel kulit matii,1
9933,iya menghargai saudara memilih ateis tipe orang berhak meluruskan kebenaran dimata orang berbeda be,0
12646,duit  kekuasaan bikin orang kret haduhhh dunia singgah bro,0
8742,iblis n1 senang suara adzan n2 suka hijab cadar n3 suka s,0
3127,karir cemerlang tni terperangkap rejim penuh dusta nselamat lahir,0
815,hahahahaha nga orderan demo nga nasi bungkus nga perbaikan gizi ntetap idiot,0
5019,yng suka nyinyir antek asing asing suka indonesia maju berhasil,0
8714,yg sengsara sih rais obral bacot mulu laku laku,0
11138,ganteng banget anjir gue menggelepar,0
7140,wanda medical check up nerf abis kesal w ya kena nerf sih wanda culun banget setingkat harry potret doi,0
12469,bani kacung kafir te awa lihat twit ya cung,1
4560,anies sandi kerjamu wkwkwk gue tagih mundah terhormat,1
2217,smp ne skr dipukili joko kristanto,1
11589,biar rezim lakukan pencitraan 2019gantipresiden langsung proses hukumnya indikasi kerugian negara,1
2080,rep help lelang acc mata picek mentang mentang nama iya depannya bilang gue mengikuti usn lo diikuti,1
3192,diambil dibilang nasionalisasi asset antek asing diambil pakai nama pribadi keluarga patut curigai be anya uang darimana twit sadar betapa pintarnya pemerintahan,0
8838,allah swt mengeluarkan perintah dungu biadab perangilah orang orang beriman allah 9 29,1
9846,subhanallah gubernur presiden ga kayak presiden walkot,0
11891,manusia dungu mengaku beragama panduan kitab sucinya fiksi belaka contoh islam kitab sucinya al qur an sumbernya firman firman allah swt al qur an dianggap fiksi al hadist dianggap sih dungu,1
5314,muslim menjaga nkri berhenti me nyembah2 allah swt dungu biadab,1
3225,guru nanak mengajarkan spiritualitas sifatnya universal ajaran islam hindu dsb sepe i kebanyakan penduduk peradaban sindhu hindu beliau menerima jalan krn beliau memanggil nya allah,0
8251,oh ranjem nama as tahunya gembus nama as fermentasi sepe i tempe oncom,0
8882,tindakan soemantri pejabat negara nama negara memenuhi undangan perusahaan swasta asing patut n freepo 51,0
9974,psk nyur lepas kerudungmu ketahuan psk baca twit nya fahri benci jokowi balas jokowi presiden dimaki maki fahri twit fahri penuh,1
1372,berbicara silit,0
8265,cowonya gentle banget banci membicarakan diejek teman teman,0
1371,agree on that master kafir penghinaan istilah memiliki samasekali konotasi negatif tsb,0
6272,bem ri hentikan pencalonan jokowi pilpres 2019,0
8804,suka kangen teman sahabat sahabat bareng aneh sekalinya ketemu kayak asing,0
9719,pakai pki memberangus lawan politik nya,0
3025,orang menjadikan agama sumber kemarahan menilkan agama sumber kasih binadamai sila baca buku gratis agama bawa damai,0
413,kalimantan tujuan gini batu bara nya keruk listriknya megap2,0
7364,on the way bom korea utara u,0
7480,yoongi teman bilang gue senyum suka gusi sipit gt,0
2129,mang ono sepe i kayaknya 3 lap ketibggalan lancar gitu ngomongnya ono kayaknya dech,0
2490,ironinya bisnis mega triliunan profit pendirinya mimpi kesana ncontohny,0
9773,emang sipit mbak onih,0
8414,beda negara beda definisi definisi pemulung tki tkw pengemis miskin makan kali sehari income gt rp 600 000,0
9486,hoa lbp rupiah selemah apapun pengaruh ekonomi bikin rugi bumn pokoknya jokowi presiden rupiahnya melemah puluh ribu indonesia aman aman aja,0
8342,iya peno sinting,0
9434,bahaya pagi pagi mules semoga eek haid,0
7348,tangkap ustaz bajingan ,1
2435,bajingan silvy debatfinalpilkadajkt,1
11557,memek gatal ngentot pakai kontol keker,0
4718,bodoh mak bahagia,0
1557,cantik,0
10833,hey orang munafik jaman ya tau,0
1455,sumbu pendek mendukung penista agama islam al maidah 51 mencak mencak kedunguannya,1
11162,bawaslu kolaka te inggi pelanggaran asn pilkada,0
12677,keren nih programnya terimakasih jokowi jokowi baiknya istirahat ya,1
1775,ogah mengajak pilih jokowi idiot,1
4912,manusia homo ew,1
4325,panik gitu ahok sih kutil babi tumbang putaran teruskan cuap cuap mu sosmed ngaruh,1
10017,kwsp penyumberan rm114 56 miliar,0
4244,tai ngajak,0
4404,iseng berbahaya iseng teriak bom bandara nrj diancam hukuman 5,0
7005,biadab perempuan iblis dya,1
2667,bacot njer sok intelek kek telek,1
3862,media milik cina ya usir aja biang perpecahan,1
9459,rocky gerung kitab suci fiksi,0
1876,scroll insta dak farah nih cerita 3 idiot gambaq pra matang,0
1818,hobi nngutang njual asset nsibuk urusan njual issue radikal nimpor hasil tani ternak nimpor tka namnesia pura pura lupa n miskinmoralitascuihhh ndan nrakyat plonga plongo rp 14rb tdk miskin lg x,1
12953,setuju klau ahok gelar santri kehormatan santri kehormatan babi ,1
13139,mengoceh onta yaman,1
2035,jokowi berutang mulu gua tau jaman sby jauhi bilang suruh gua,1
3550,pe rezim mengeluarkan kebijakan memprotes nya penguasa pura pura mendengar paham mengkritisi a,0
2957,goblog dipelihara,0
7747,diam tai anakonda,1
11610,hehe hasil baca diskusi teman syiah liberal komunis nislam indonesia himpitan syiah liberal komunis ngitu pendapat org sal,0
392,setiausaha agung pas datuk takiyuddin hassan sahkan cuba pinda perlembagaan i sepe i presiden i,0
2995,evi layanto siswi sd katolik karya yosef kelas 6b 1983 istrinya ronaldo pardede sah,0
7592,gubernur terpilih hancur perbuatannya lihat ahok no 1,1
9651,algaka pilkada kaltim 2018 tumbang kpu berau,0
